speech_id,session,committee,date,issue,speaker,speaker_position,role_level,ministry,is_responsible,responsibility_tag,questioner,questioner_group,speech_text,speech_url,attitude_tags,content_tags,raw_tag_response
121604601X00420241219_064,216,総務委員会,2024-12-19,第4号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,先ほど来申し上げているように、これを両立させるということは本当に大変だと思いますけれども、国としては、それがやはりきちっとできるように一生懸命努力すべきじゃないか、そういうふうに考えております。,https://kokkai.ndl.go.jp/txt/121604601X00420241219/64,POSITIVE,OWN_OPINION,"```json
{""attitude"": [""POSITIVE""], ""content"": [""OWN_OPINION""]}
```"
121604601X00420241219_023,216,総務委員会,2024-12-19,第4号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,"岡本委員の御質問にお答えします。
　部分休業は勤務条件に関わるものであることから、地方公務員法に定める均衡の原則の趣旨に鑑み、国家公務員と同様の制度としてきております。
　国家公務員の育児時間制度においては、対象となる子の年齢は小学校就学の始期に達するまで、つまり就学前までとされております。
　これは、民間の対応する制度の対象となる子の年齢と合わせているものであると承知しております。
　また、子の看護休暇を始め会計年度任用職員の各種休暇について、常勤職員と同様に有給とすることの要望があるということは十分承知しております。
　そういう中で、一方、会計年度任用職員の休暇制度については、これまで、国家公務員の非常勤職員の休暇制度との権衡を踏まえて適切な対応を行うよう助言してきているところであります。
　国家公務員の非常勤職員の休暇制度については、業務の必要に応じ、その都度、任期や勤務時間が設定され任用されるという非常勤職員の性格を踏まえ、民間の状況などを考慮し、必要な措置が行われていると承知しております。
　引き続き国家公務員の動向を注視しながら適正な勤務条件の確保を進めてまいりたい、そういうふうに考えております。",https://kokkai.ndl.go.jp/txt/121604601X00420241219/23,"EXPLAIN,DEFER",BUREAUCRATIC,"```json
{""attitude"": [""EXPLAIN"", ""DEFER""], ""content"": [""BUREAUCRATIC""]}
```"
121604601X00420241219_050,216,総務委員会,2024-12-19,第4号,冨樫博之,総務副大臣,副大臣,総務省,True,担当,不明,不明,"急激な人口減少や若者の流出などが進む中で、地方が置かれている状況は非常に厳しいものだと認識をしております。
　総務省としては、これまでも、地域の実情に応じた行政サービスの提供が行われるよう、自治体の自主性、自立性を高めるとともに、地方への人の流れの創出、拡大、自治体ＤＸの推進、他の自治体や地域の多様な主体との連携等の取組を進めてきたところであります。
　しかしながら、引き続き自治体の体制確保が大きな課題となっていることから、先月、対策を検討するため、研究会を立ち上げたところです。
　今後とも、自治体の行財政を持続可能なものにしていくため、自治体ＤＸや連携の更なる推進、国、都道府県、市町村の役割の在り方も含めて、どのような方法が考えられるか、自治体の皆様の声を伺いながら検討してまいります。",https://kokkai.ndl.go.jp/txt/121604601X00420241219/50,"POSITIVE,CONSIDER","BUREAUCRATIC,CROSS_MINISTRY","```json
{""attitude"": [""POSITIVE"", ""CONSIDER""], ""content"": [""BUREAUCRATIC"", ""CROSS_MINISTRY""]}
```"
121604601X00420241219_009,216,総務委員会,2024-12-19,第4号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,"道下委員の御認識どおり、先ほども説明がありましたけれども、男性の育休取得率が高い自治体においては、首長の強力なリーダーシップの下で、取得目標の明確化、職員への意識啓発、職員の取得計画に上司である管理職が協力するなど、様々な取組が進められているというふうに承知しております。
　また、委員から言及があった千葉市の例のほかにも、市長を交えた育児中の男性を対象としたミーティングを開催して、男性職員の意識啓発を図っている自治体の例などもあります。そのような取組事例について自治体に対して情報提供を行っております。
　今後も男性職員の育児休業の取得促進の取組が一層進んでいくよう必要な助言や情報提供を行ってまいりたい、そういうふうに考えております。",https://kokkai.ndl.go.jp/txt/121604601X00420241219/9,"POSITIVE,EXPLAIN","BUREAUCRATIC,OWN_OPINION","```json
{""attitude"": [""POSITIVE"", ""EXPLAIN""], ""content"": [""BUREAUCRATIC"", ""OWN_OPINION""]}
```"
121604601X00420241219_072,216,総務委員会,2024-12-19,第4号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,"山川委員の御質問にお答えしたいと思います。
　育児を行う職員の職業生活と家庭生活の両立は官民共通の重要な課題となっておりまして、今般の部分休業の拡充は職員の希望や事情に対応した勤務を可能とするための見直しであります。
　これを意味あるものとするために、各自治体において部分休業や育児休業を安心して取得できるような環境づくりを進めていきたいと考えております。先ほど来先生が御指摘する保育士の問題も含めて総務省としてもしっかりサポートしていきたい、そういうふうに考えております。
　以上であります。",https://kokkai.ndl.go.jp/txt/121604601X00420241219/72,"POSITIVE,CONSIDER","BUREAUCRATIC,OWN_OPINION","```json
{""attitude"": [""POSITIVE"", ""CONSIDER""], ""content"": [""BUREAUCRATIC"", ""OWN_OPINION""]}
```"
121604601X00420241219_019,216,総務委員会,2024-12-19,第4号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,"道下委員のおっしゃるとおりでございまして、近年増加している救急需要や激甚化、頻発化する災害等に対応するため、消防職員数の確保は大変重要であるというふうに考えております。
　消防職員数については近年一貫して増加を続けており、こうした状況を踏まえて、地方財政計画においても適切に消防職員数を計上しているところであります。
　引き続き、消防職員の確保に向けて支援を行うとともに、男性消防職員が育児休業を取得できるよう体制の確保に向けてしっかりと取り組んでまいりたい、そういうふうに考えております。
　以上であります。",https://kokkai.ndl.go.jp/txt/121604601X00420241219/19,"POSITIVE,EXPLAIN","OWN_OPINION,BUREAUCRATIC,BUDGET","```json
{""attitude"": [""POSITIVE"", ""EXPLAIN""], ""content"": [""OWN_OPINION"", ""BUREAUCRATIC"", ""BUDGET""]}
```"
121604601X00420241219_025,216,総務委員会,2024-12-19,第4号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,"岡本委員のお考えは、地方の実態に合った、地方ならではの制度をつくるべきじゃないかという御意見だと思います。
　ただ、今、複雑化、多様化する行政需要に対応するために、常勤職員に加え会計年度任用職員も地方行政の重要な担い手となっているというふうに私どもは認識しております。
　そのために、職業生活と家庭生活との両立を図ることは、常勤職員に限らず、会計年度任用職員についても重要だと考えております。
　会計年度職員に関する仕事と育児との両立支援制度については、地方公務員法の規定を踏まえ、国家公務員の制度に準じたものとされております。
　これまで、国家公務員の非常勤職員については、常勤職員とのバランスを踏まえ、休暇について夏季休暇や育児参加休暇の新設などの見直しを順次行ってきております。今般の法改正においても育児時間の対象となる子の年齢の要件を常勤職員と同様に引き上げる見直しをされているところであります。
　総務省としましては、引き続きこういった動向を注視しながら会計年度職員の勤務条件についてなお一層検討や助言を行っていきたい、そういうふうに考えております。",https://kokkai.ndl.go.jp/txt/121604601X00420241219/25,"POSITIVE,CONSIDER,EXPLAIN,DEFER","OWN_OPINION,BUREAUCRATIC","```json
{""attitude"": [""POSITIVE"", ""CONSIDER"", ""EXPLAIN"", ""DEFER""], ""content"": [""OWN_OPINION"", ""BUREAUCRATIC""]}
```"
121604601X00420241219_082,216,総務委員会,2024-12-19,第4号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,"私の個人的見解ですけれども、やはり夫婦がお互いに協力して円満に生活できるということが私は大きいんじゃないかなという気がしております。これは個人的見解です。
　また、職員が育児休業を取得することは、本人のみならず、組織にとっても、多様な人材を生かすマネジメント力の向上や子育てに理解のある職場風土の形成などの観点から私も重要だと考えております。
　公務を支える有為な人材に選ばれ、働き続けてもらう職場となるためには、先ほど申し上げましたように、共働き、共育てが可能となる職場環境の整備が不可欠だというふうに考えております。
　ある程度まとまった期間育児休業を取得できることが、男性が家庭内で育児や家事に参画するためには重要であると考えております。それぞれの家庭の事情などを踏まえて、仕事と育児を両立するため、希望する期間取得できるようにしておくことが大切じゃないかというふうに考えております。
　以上であります。",https://kokkai.ndl.go.jp/txt/121604601X00420241219/82,POSITIVE,OWN_OPINION,"```json
{""attitude"": [""POSITIVE""], ""content"": [""OWN_OPINION""]}
```"
121604601X00420241219_011,216,総務委員会,2024-12-19,第4号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,"御指摘のとおり、地方公務員の男性職員が育児休業の取得をためらう要因については、今おっしゃられたように、こども未来戦略における指摘と同様に、取得しづらい雰囲気や周囲の理解を得にくい、また、周囲の職員の負担が増えるといったことなどがあると承知しております。
　そういう中で、やはりこういった要因を解消して、安心して育児休業を取得できるよう職場全体として環境づくりを進めていくことが重要である、そういうふうに考えております。
　以上であります。",https://kokkai.ndl.go.jp/txt/121604601X00420241219/11,"POSITIVE,EXPLAIN","OWN_OPINION,BUREAUCRATIC","```json
{""attitude"": [""POSITIVE"", ""EXPLAIN""], ""content"": [""OWN_OPINION"", ""BUREAUCRATIC""]}
```"
121604601X00320241218_051,216,総務委員会,2024-12-18,第3号,村上誠一郎,総務大臣,大臣,総務省,True,担当,不明,不明,"お答え申し上げます。
　災害時においては、被災者の方々に災害関連情報が確実に届けられる環境の確保が必要不可欠であります。
　通信、とりわけ携帯電話サービスは、被災者の方々が御家族の安否等を確認し、必要な情報を取得するために用いられるとともに、関係機関が必要な情報を伝達するためにも欠かせない手段であります。
　また、放送は、自然災害の多い我が国において災害情報や避難情報等をいち早く提供するなど、国民の安心、安全を支える極めて重要な社会基盤であります。
　総務省におきましては、本年一月の能登半島地震の教訓も踏まえ、長時間の停電にも耐え得る携帯電話基地局の整備、地上波の予備送信所の整備、ケーブルテレビ網の光ファイバーへの切替え、二ルート化といった取組を進めることにより、災害時に重要な役割を果たす通信インフラ、放送インフラの強靱化を図ってまいりたいと考えております。
　以上であります。",https://kokkai.ndl.go.jp/txt/121604601X00320241218/51,POSITIVE,"SPECIFIC_PLAN,BUREAUCRATIC","```json
{""attitude"": [""POSITIVE""], ""content"": [""SPECIFIC_PLAN"", ""BUREAUCRATIC""]}
```"
